id,short_id,image_path_html,polygon,label,score,countertop_polygon,above_or_below_countertop,height_width_ratio,container_height,container_width,neighbors,anchor_neighbors,distance_from_anchors,angle_from_anchors,similar_neighbors,updated_label
3569,4,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[166, 91], [167, 397], [356, 395], [352, 90]]",cabinet door,0.383,"[[0, 503], [459, 503], [459, 690], [0, 690]]",above,1.616,307.0,190.0,"{""above"": null, ""below"": 3579, ""left"": 3578, ""right"": 3581, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": 3574}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],cabinet door
3570,5,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[55, 401], [54, 402], [54, 403], [55, 404], [55, 405], [56, 404], [56, 403], [55, 402]]",cabinet door,0.427,"[[0, 503], [459, 503], [459, 690], [0, 690]]",above,2.0,4.0,2.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],cabinet door
3571,6,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[158, 177], [55, 181], [59, 405], [159, 404]]",drawer,0.361,"[[0, 503], [459, 503], [459, 690], [0, 690]]",above,2.192,228.0,104.0,"{""above"": null, ""below"": 3570, ""left"": 3576, ""right"": 3578, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": 3579}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],drawer
3572,7,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[381, 535], [159, 535], [158, 567], [375, 566]]",drawer,0.31,"[[0, 503], [459, 503], [459, 690], [0, 690]]",below,0.143,32.0,223.0,"{""above"": 3579, ""below"": 3566, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": 3574, ""bottom_left"": 3567, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],drawer
3573,8,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[345, 627], [182, 626], [178, 667], [344, 668]]",cabinet door,0.389,"[[0, 503], [459, 503], [459, 690], [0, 690]]",below,0.251,42.0,167.0,"{""above"": 3566, ""below"": null, ""left"": 3580, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],cabinet door
3574,9,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[388, 308], [387, 689], [457, 689], [458, 310]]",cabinet door,0.372,"[[0, 503], [459, 503], [459, 690], [0, 690]]",below,5.366,381.0,71.0,"{""above"": 3575, ""below"": null, ""left"": 3572, ""right"": null, ""top_left"": 3581, ""top_right"": null, ""bottom_left"": 3582, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],cabinet door
3575,10,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[378, 156], [379, 279], [457, 280], [458, 157]]",cabinet door,0.339,"[[0, 503], [459, 503], [459, 690], [0, 690]]",above,1.55,124.0,80.0,"{""above"": null, ""below"": null, ""left"": 3581, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],cabinet door
3576,11,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[159, 148], [2, 150], [4, 411], [157, 410]]",drawer,0.375,"[[0, 503], [459, 503], [459, 690], [0, 690]]",above,1.675,263.0,157.0,"{""above"": null, ""below"": 3570, ""left"": 3568, ""right"": 3571, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": 3579}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],drawer
3577,12,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[0, 567], [0, 606], [19, 606], [19, 567]]",cabinet door,0.365,"[[0, 503], [459, 503], [459, 690], [0, 690]]",below,2.053,39.0,19.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],cabinet door
3578,13,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[170, 90], [166, 395], [250, 397], [258, 91]]",cabinet door,0.31,"[[0, 503], [459, 503], [459, 690], [0, 690]]",above,3.337,307.0,92.0,"{""above"": null, ""below"": 3579, ""left"": 3571, ""right"": 3569, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],cabinet door
3579,14,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[358, 400], [167, 401], [166, 506], [357, 504]]",cabinet door,0.39,"[[0, 503], [459, 503], [459, 690], [0, 690]]",below,0.552,106.0,192.0,"{""above"": 3569, ""below"": 3572, ""left"": null, ""right"": 3574, ""top_left"": 3571, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],cabinet door
3580,15,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[24, 610], [23, 689], [156, 689], [155, 610]]",cabinet door,0.384,"[[0, 503], [459, 503], [459, 690], [0, 690]]",below,0.594,79.0,133.0,"{""above"": 3567, ""below"": null, ""left"": null, ""right"": 3582, ""top_left"": 3577, ""top_right"": 3566, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],cabinet door
3581,16,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[263, 90], [265, 391], [357, 395], [353, 93]]",drawer cabinet door,0.323,"[[0, 503], [459, 503], [459, 690], [0, 690]]",above,3.245,305.0,94.0,"{""above"": null, ""below"": 3579, ""left"": 3569, ""right"": 3575, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": 3574}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],drawer cabinet door
3582,17,images/kitchen/17_segmented_sun_dstlccpatrewxxsj.jpg,"[[362, 609], [163, 609], [174, 666], [161, 689], [360, 688]]",cabinet door,0.315,"[[0, 503], [459, 503], [459, 690], [0, 690]]",below,0.398,80.0,201.0,"{""above"": 3566, ""below"": null, ""left"": 3580, ""right"": 3573, ""top_left"": 3567, ""top_right"": 3574, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}",{},{},[],cabinet door
3583,1,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[127, 0], [126, 81], [148, 82], [147, 0]]",cabinet door,0.461,"[[0, 142], [256, 142], [256, 256], [0, 256]]",above,3.727,82.0,22.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": 3594, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.233, 'sink': 0.2834}","{'electronic kettle': 55.68, 'sink': 48.85}",[],cabinet door
3584,2,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[168, 169], [170, 169]]",drawer,0.509,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,2.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.1674, 'sink': 0.1716}","{'electronic kettle': 284.89, 'sink': 304.84}",[],drawer
3585,3,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[228, 166], [229, 166]]",cabinet door,0.348,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,1.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.1957, 'sink': 0.1482}","{'electronic kettle': 231.67, 'sink': 243.43}",[],cabinet door
3586,4,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[204, 166], [206, 166]]",cabinet door,0.505,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,2.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.1635, 'sink': 0.1326}","{'electronic kettle': 249.82, 'sink': 269.4}",[],cabinet door
3587,5,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[200, 166], [202, 166]]",cabinet door,0.427,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,2.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.1601, 'sink': 0.1329}","{'electronic kettle': 253.53, 'sink': 274.17}",[],cabinet door
3588,6,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[196, 166]]",cabinet door,0.462,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,0.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.1567, 'sink': 0.1346}","{'electronic kettle': 258.38, 'sink': 280.04}",[],cabinet door
3589,7,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[222, 165]]",cabinet door,0.344,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,0.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.1828, 'sink': 0.1385}","{'electronic kettle': 235.56, 'sink': 249.58}",[],cabinet door
3590,8,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[208, 165], [218, 165]]",cabinet door,0.405,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,10.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.17, 'sink': 0.1319}","{'electronic kettle': 242.48, 'sink': 259.75}",[],cabinet door
3591,9,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[225, 163]]",drawer,0.475,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,0.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.1832, 'sink': 0.1366}","{'electronic kettle': 232.44, 'sink': 245.51}",[],drawer
3592,10,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[255, 161], [157, 178], [154, 199], [254, 185]]",cabinet door,0.419,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.376,38.0,101.0,"{""above"": null, ""below"": 3601, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": 3611, ""bottom_right"": 3605}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.2023, 'sink': 0.1733}","{'electronic kettle': 253.8, 'sink': 269.54}",[],cabinet door
3593,11,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[0, 140], [0, 185], [15, 183], [16, 140]]",drawer,0.417,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,2.812,45.0,16.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": 3602, ""top_left"": null, ""top_right"": 3609, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.5088, 'sink': 0.5569}","{'electronic kettle': 343.74, 'sink': 347.39}",[],drawer
3594,12,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[157, 0], [158, 81], [190, 81], [194, 1]]",cabinet door,0.367,"[[0, 142], [256, 142], [256, 256], [0, 256]]",above,2.189,81.0,37.0,"{""above"": null, ""below"": null, ""left"": 3583, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": ""electronic kettle"", ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.1944, 'sink': 0.2287}","{'electronic kettle': 81.98, 'sink': 68.94}",[],cabinet door
3595,13,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[86, 41], [87, 87], [104, 88], [106, 42]]",drawer,0.389,"[[0, 142], [256, 142], [256, 256], [0, 256]]",above,2.35,47.0,20.0,"{""above"": null, ""below"": null, ""left"": 3610, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.2762, 'sink': 0.3348}","{'electronic kettle': 27.34, 'sink': 26.2}",[],drawer
3596,14,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[202, 254], [202, 255], [203, 255]]",drawer,0.406,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,1.0,1.0,1.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.4014, 'sink': 0.3775}","{'electronic kettle': 262.98, 'sink': 270.91}",[],drawer
3597,15,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[203, 251]]",cabinet door,0.409,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,0.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.3916, 'sink': 0.3674}","{'electronic kettle': 262.53, 'sink': 270.65}",[],cabinet door
3598,16,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[203, 247]]",cabinet door,0.372,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,0.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.3806, 'sink': 0.3563}","{'electronic kettle': 262.32, 'sink': 270.67}",[],cabinet door
3599,17,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[204, 211]]",cabinet door,0.385,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,0.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.2829, 'sink': 0.2569}","{'electronic kettle': 259.07, 'sink': 270.31}",[],cabinet door
3600,18,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[204, 209]]",drawer cabinet door,0.349,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,0.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.2775, 'sink': 0.2514}","{'electronic kettle': 258.85, 'sink': 270.31}",[],drawer cabinet door
3601,19,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[207, 194], [153, 202], [154, 255], [200, 255], [200, 204]]",cabinet door,0.329,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,1.13,61.0,54.0,"{""above"": 3592, ""below"": 3596, ""left"": 3611, ""right"": 3605, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.3082, 'sink': 0.2934}","{'electronic kettle': 270.91, 'sink': 281.79}",[],cabinet door
3602,20,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[43, 138], [18, 140], [18, 182], [43, 180]]",cabinet door,0.339,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,1.76,44.0,25.0,"{""above"": 3609, ""below"": null, ""left"": 3593, ""right"": null, ""top_left"": null, ""top_right"": 3608, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.4471, 'sink': 0.4944}","{'electronic kettle': 342.16, 'sink': 346.43}",[],cabinet door
3603,21,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[40, 39], [38, 87], [60, 88], [63, 40]]",cabinet door,0.357,"[[0, 142], [256, 142], [256, 256], [0, 256]]",above,1.96,49.0,25.0,"{""above"": null, ""below"": null, ""left"": 3614, ""right"": 3607, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.393, 'sink': 0.4519}","{'electronic kettle': 19.26, 'sink': 19.46}",[],cabinet door
3604,22,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[149, 122], [150, 131], [178, 135], [178, 123], [153, 119]]",cabinet door,0.528,"[[0, 142], [256, 142], [256, 256], [0, 256]]",above,0.552,16.0,29.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": ""electronic kettle"", ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.0767, 'sink': 0.1205}","{'electronic kettle': 325.87, 'sink': 349.44}",[],cabinet door
3605,23,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[255, 188], [213, 193], [210, 255], [255, 255]]",drawer,0.38,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,1.489,67.0,45.0,"{""above"": null, ""below"": null, ""left"": 3601, ""right"": null, ""top_left"": 3592, ""top_right"": null, ""bottom_left"": 3596, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.3381, 'sink': 0.3}","{'electronic kettle': 246.57, 'sink': 254.65}",[],drawer
3606,24,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[95, 123], [95, 132], [138, 128], [137, 120], [98, 120]]",cabinet door,0.308,"[[0, 142], [256, 142], [256, 256], [0, 256]]",above,0.279,12.0,43.0,"{""above"": null, ""below"": null, ""left"": 3608, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.2026, 'sink': 0.2545}","{'electronic kettle': 348.86, 'sink': 355.89}",[],cabinet door
3607,25,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[39, 39], [39, 89], [84, 88], [83, 41]]",drawer,0.355,"[[0, 142], [256, 142], [256, 256], [0, 256]]",above,1.111,50.0,45.0,"{""above"": null, ""below"": null, ""left"": 3603, ""right"": 3610, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.3637, 'sink': 0.4226}","{'electronic kettle': 20.53, 'sink': 20.57}",[],drawer
3608,26,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[45, 126], [46, 136], [93, 132], [93, 122], [61, 122]]",cabinet door,0.313,"[[0, 142], [256, 142], [256, 256], [0, 256]]",above,0.292,14.0,48.0,"{""above"": null, ""below"": null, ""left"": 3609, ""right"": 3606, ""top_left"": null, ""top_right"": null, ""bottom_left"": 3602, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.3266, 'sink': 0.3791}","{'electronic kettle': 351.65, 'sink': 355.99}",[],cabinet door
3609,27,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[43, 127], [0, 128], [0, 138], [41, 137]]",cabinet door,0.309,"[[0, 142], [256, 142], [256, 256], [0, 256]]",above,0.256,11.0,43.0,"{""above"": null, ""below"": 3602, ""left"": null, ""right"": 3608, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.4559, 'sink': 0.5084}","{'electronic kettle': 352.32, 'sink': 355.48}",[],cabinet door
3610,28,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[65, 40], [64, 86], [84, 88], [83, 41]]",cabinet door,0.341,"[[0, 142], [256, 142], [256, 256], [0, 256]]",above,2.4,48.0,20.0,"{""above"": null, ""below"": null, ""left"": 3607, ""right"": 3595, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.3315, 'sink': 0.3904}","{'electronic kettle': 22.89, 'sink': 22.57}",[],cabinet door
3611,29,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[110, 162], [112, 255], [151, 255], [150, 179]]",cabinet door,0.333,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,2.268,93.0,41.0,"{""above"": 3613, ""below"": null, ""left"": null, ""right"": 3601, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.3193, 'sink': 0.3316}","{'electronic kettle': 297.74, 'sink': 307.9}",[],cabinet door
3612,30,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[124, 161]]",cabinet door,0.331,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,0.0,0.0,0.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.218, 'sink': 0.2521}","{'electronic kettle': 320.14, 'sink': 331.89}",[],cabinet door
3613,31,images/kitchen/32_segmented_sun_afwxfrcfspghcjqq.jpg,"[[112, 157], [113, 158], [113, 157]]",cabinet door,0.336,"[[0, 142], [256, 142], [256, 256], [0, 256]]",below,1.0,1.0,1.0,"{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{""above"": null, ""below"": null, ""left"": null, ""right"": null, ""top_left"": null, ""top_right"": null, ""bottom_left"": null, ""bottom_right"": null}","{'electronic kettle': 0.2371, 'sink': 0.2759}","{'electronic kettle': 326.88, 'sink': 336.81}",[],cabinet door
